Sequence;End to end;Process area;In scope;Master system
10.00.000.000;Acquire to dispose;;;
10.05.000.000;;Define asset strategy;;
10.20.000.000;;Acquire assets;;
10.40.000.000;;Manage active assets;;
10.50.000.000;;Perform asset maintenance;;
10.60.000.000;;Dispose of assets;;
10.70.000.000;;Analyze assets;;
20.00.000.000;Case to resolution;;;
20.10.000.000;;Establish a knowledge base;;
20.20.000.000;;Define customer and employee service operations;;
20.30.000.000;;Intake cases;;
20.40.000.000;;Manage and work on cases;;
20.60.000.000;;Analyze case performance;;
30.00.000.000;Concept to market;;;
30.05.000.000;;Develop marketing strategy;;
30.15.000.000;;Research and develop offerings;;
30.25.000.000;;Manage service offerings;;
30.35.000.000;;Prepare marketing campaigns;;
30.45.000.000;;Manage marketing campaigns;;
30.55.000.000;;Analyze marketing operations;;
40.00.000.000;Design to retire;;;
40.10.000.000;;Develop product strategy;;
40.20.000.000;;Introduce products;;
40.50.000.000;;Manage active products;;
40.60.000.000;;Retire products;;
40.90.000.000;;Analyze product performance;;
50.00.000.000;Forecast to plan;;;
50.15.000.000;;Develop business strategy;;
50.25.000.000;;Conduct sales and operations planning;;
50.35.000.000;;Execute sales and operations;;
50.55.000.000;;Conduct financial planning;;
50.65.000.000;;Analyze business performance;;
55.00.000.000;Hire to retire;;;
55.05.000.000;;Develop people strategy;;
55.10.000.000;;Recruit and onboard talent;;
55.30.000.000;;Manage workplace compliance;;
55.40.000.000;;Manage performance and growth;;
55.50.000.000;;Manage time and attendance;;
55.70.000.000;;Manage compensation and benefits;;
55.80.000.000;;Offboard talent;;
55.90.000.000;;Analyze HR programs;;
60.00.000.000;Inventory to deliver;;;
60.10.000.000;;Manage warehouse operations;;
60.20.000.000;;Maintain inventory levels;;
60.30.000.000;;Process inbound goods;;
60.40.000.000;;Process outbound goods;;
60.50.000.000;;Manage inventory quality;;
60.60.000.000;;Manage freight and transportation;;
60.80.000.000;;Analyze warehouse operations;;
65.00.000.000;Order to cash;;;
65.05.000.000;;Develop sales policies;;
65.20.000.000;;Manage sales orders;;
65.30.000.000;;Manage accounts receivable;;
65.50.000.000;;Manage credit and collections;;
65.60.000.000;;Analyze sales performance;;
70.00.000.000;Plan to produce;;;
70.10.000.000;;Develop production strategies;;
70.20.000.000;;Plan production operations;;
70.30.000.000;;Run production operations;;
70.60.000.000;;Control production quality;;
70.70.000.000;;Analyze production operations;;
75.00.000.000;Source to pay;;;
75.10.000.000;;Develop procurement and sourcing strategy;;
75.30.000.000;;Manage supplier relationships;;
75.35.000.000;;Source and contract goods and services;;
75.40.000.000;;Procure goods and services;;
75.50.000.000;;Manage accounts payable;;
75.80.000.000;;Analyze procurement and sourcing;;
80.00.000.000;Project to profit;;;
80.10.000.000;;Develop project strategy;;
80.20.000.000;;Manage project contracts;;
80.30.000.000;;Plan projects;;
80.40.000.000;;Manage project delivery;;
80.50.000.000;;Manage project financials;;
80.60.000.000;;Analyze project performance;;
85.00.000.000;Prospect to quote;;;
85.15.000.000;;Manage customer relationships;;
85.25.000.000;;Identify and qualify leads;;
85.35.000.000;;Define sales strategy and policies;;
85.45.000.000;;Pursue opportunities;;
85.55.000.000;;Estimate and quote sales;;
85.65.000.000;;Analyze sales;;
90.00.000.000;Record to report;;;
90.10.000.000;;Define accounting policies;;
90.25.000.000;;Manage cash;;
90.30.000.000;;Manage budgets;;
90.50.000.000;;Record financial transactions;;
90.60.000.000;;Close financial periods;;
90.70.000.000;;Analyze financial performance;;
95.00.000.000;Service to deliver;;;
95.05.000.000;;Develop service strategy;;
95.15.000.000;;Plan service work;;
95.25.000.000;;Manage service work;;
95.35.000.000;;Deliver services;;
95.45.000.000;;Analyze service performance;;
99.00.000.000;Administer to operate;;;
99.01.000.000;;Implement solutions;;
99.10.000.000;;Define business continuity plan;;
99.15.000.000;;Manage licensing and entitlements;;
99.20.000.000;;Administer system features;;
99.25.000.000;;Manage system access and security;;
99.30.000.000;;Train users and increase adoption;;
99.35.000.000;;Monitor systems, environments, and capacity;;
99.40.000.000;;Manage background jobs;;
99.45.000.000;;Manage notifications alerts;;
99.50.000.000;;Uptake software releases;;
99.55.000.000;;Manage data;;
99.60.000.000;;Manage system compliance;;
99.65.000.000;;Support systems;;
